Make,Model,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability
Toyota,Rav4,2016,Petrol,2400 - VVTI cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Toyota,Axio,2015,Petrol,1500 - VVT-i cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Axio,2015,Petrol,1500 - VVT-i cc,Automatic,White,Beige,,,4.5,B,In Stock
Toyota,Axio,2015,Petrol,1500 - VVT-i cc,Automatic,White,Beige,,,4.5,B,In Stock
Toyota,Aqua,2015,Petrol Hybrid,1500 - VVT-i cc,Automatic,White,Brown,,,4.5,B,In Stock
Toyota,Axio,2015,Petrol Hybrid,1500 - VVT-i cc,Automatic,White,Beige,,,4.5,B,In Stock
Suzuki,Swift,2015,Petrol,1200 cc,Automatic,YELLOW,Gray,,,4.5,B,In Stock
Toyota,Auris,2015,Petrol,1500cc - VVTi cc,Automatic,Black,Gray,,,4.5,B,In Stock
Subaru,Wrx,2014,Petrol,2000 - STI cc,Automatic,Red,Gray,,,4.5,B,In Stock
Bmw,X5,2014,Petrol,3000 - V6 cc,Automatic,Pearl White,Beige,,,4.5,B,In Stock
Ford,Raptor,2019,Diesel,2000 cc,Automatic,Blue,Gray,,,4.5,B,In Stock
Toyota,Townace,2015,Petrol,1500 - VVT-I cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Suzuki,Swift,2015,Petrol,1200 cc,Automatic,Red,Gray,,,4.5,B,In Stock
Nissan,Juke,2014,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Nissan,Advan,2014,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Fielder,2015,Petrol Hybrid,1500 - VVT-I cc,Automatic,White,Gray,,,4.5,B,In Stock
Toyota,Fielder,2015,Petrol Hybrid,1500 - VVT-I cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Rav4,2015,Petrol,2400 - VVTI cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Nissan,Bluebird,2015,Petrol,1800 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Fj Cruiser,2014,Petrol,4000 -V6 cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Mark X,2014,Petrol,2400 - V6 cc,Automatic,Pearl White,Beige,,,4.5,B,In Stock
Toyota,Land Cruiser,2022,Petrol,3500 - V6 cc,Automatic,Pearl White,Beige,,,5,A,In Stock
Toyota,Land Cruiser,2022,Petrol,3500 - V6 cc,Automatic,Pearl White,Beige,,,5,A,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Black,Gray,4WD,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Black,Brown,4WD,,4.5,B,In Transit
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Black,Brown,4WD,,4.5,B,Sold
Range,Rover Vogue,2016,Petrol,3000 - V6 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Black,Orange,4WD,,4.5,B,In Stock
Porsche,Cayenne,2018,Petrol,3000cc  - V6 cc,Automatic,Black,Beige,,,4.5,B,In Transit
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Pearl White,Orange,4WD,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Black,Orange,4WD,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Pearl White,Orange,4WD,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Stock
Mazda,Cx,2016,Petrol,200cc   cc,Automatic,Red,Gray,,,4.5,B,Sold
Land,Rover Discovery,2016,Petrol,3000cc  - V6 cc,Automatic,Red,Beige,,,4.5,B,In Stock
Ranger,Rover Vogue,2018,Petrol,3000cc  - V6 cc,Automatic,Black,Gray,4WD,,4.5,B,Sold
Lexus,Rx,2016,Petrol Hybrid,3500cc cc,Automatic,Black,Gray,,,4.5,B,In Transit
Volks,Wagen Beetle,2014,Petrol,1200 cc,Automatic,YELLOW,Gray,,,4.5,B,Sold
Ranger,Rover Vogue,2016,Petrol,3000cc  - V6 cc,Automatic,Gold,Gray,4WD,,4.5,B,In Stock
Ranger,Rover E Voque,2016,Petrol,2000cc cc,Automatic,Pearl White,Beige,4WD,,4.5,B,Sold
Land,Rover Discovery,2016,Petrol,3000cc  - V6 cc,Automatic,Gold,Beige,,,4.5,B,Sold
Toyota,Fielder,2016,Petrol,1800 - Valvematic cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Toyota,Ch R,2016,Petrol,1200cc - VVT-I cc,Automatic,Pearl White,Brown,,,4.5,B,In Stock
Bmw,X5,2014,Petrol,3000 - V6 cc,Automatic,Black,Beige,,,4.5,B,In Stock
Volkswagen,Touareg,2016,Petrol,3600cc - V6 cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Bently,Continental,2014,Petrol,4000 -V6 cc,Automatic,Gray,Orange,,,4.5,B,Sold
Toyota,Noah,2016,Petrol,2000 - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Passo,2016,Petrol,1000 - VVT-I cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Toyota,Vitz,2016,Petrol,1000 - VVT-I cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Land Cruiser,2019,Petrol,4600-V8 cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Lexus,Rx,2016,Petrol,3500cc - V6 cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Voxy,2016,Petrol,3500 - V6 cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Hilux,2014,Diesel,2500 cc,Automatic,Brown,Gray,,,4.5,B,In Stock
Toyota,Axio,2014,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Land Cruiser Prado,2016,Petrol,2700CC - VVTI cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2016,Petrol,4700 - V8 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2016,Petrol,2700CC - VVTI cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2016,Petrol,2700CC - VVTI cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Wish,,2016,Petrol,1800 - Valvematic cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Wish,,2016,Petrol,1800 - Valvematic cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Audi,Q3,2017,Petrol,1400cc  - TFSI cc,Automatic,YELLOW,Gray,,,4.5,B,In Transit
Volkswagen,Tiguan,2016,Petrol,1400cc - TSI cc,Automatic,Black,Gray,,,4.5,B,In Transit
Volkswagen,Tiguan,2016,Petrol,1400cc - TSI cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Mazda,Axela,2017,Petrol,1500cc cc,Automatic,Brown,Gray,,,4.5,B,In Transit
Toyota,Spade,,Petrol,1500 - VVT-I cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Fj Cruiser,2014,Petrol,4000 -V6 cc,Automatic,Orange,Gray,,,4.5,B,In Stock
Toyota,Harrier,2017,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Fj Cruiser,2014,Petrol,4000 -V6 cc,Automatic,Black,Gray,,,4.5,B,Sold
Toyota,Harrier,2017,Petrol,2000cc  - Valvematic cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Toyota,Fj Cruiser,2014,Petrol,4000 -V6 cc,Automatic,Black,Gray,,,4.5,B,In Stock
Bmw,X5,2014,Diesel,3000 - V6 cc,Automatic,Black,Brown,,,4.5,B,In Stock
Toyota,Harrier,2017,Petrol,2000cc  - Valvematic cc,Automatic,Pearl White,Maroon,,,4.5,B,In Transit
Mazda,Cx8,2018,Diesel,2200 cc,Automatic,Blue,Beige,,,4.5,A,Sold
Mazda,Cx,2017,Diesel,2200cc   cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2015,Diesel,2800 cc,Automatic,Pearl White,Beige,,,5,B,In Stock
Toyota,Vitz,2016,Petrol,1500 - VVT-I cc,Automatic,Blue,Gray,,,4.5,B,In Stock
Toyota,Harrier,2017,Petrol,2000cc  - Valvematic cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Auris,2016,Petrol,1300cc cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Harrier,2017,Petrol,2000cc  - Valvematic cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser,2016,Petrol,4700 - V8 cc,Automatic,Blue,Gray,4WD,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700cc - V8 cc,Automatic,Pearl White,Orange,4WD,,4.5,B,In Transit
Lexus,Rx200T,2016,Petrol,2000cc cc,Automatic,Brown,Brown,,,4.5,B,In Transit
Bmw,X6,2017,Petrol,3000cc V6 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Lexus,Lx,2016,Petrol,5700 cc,Automatic,Black,Brown,4WD,,4.5,B,In Transit
Bmw,X6,2016,Petrol,3000cc V6 cc,Automatic,Black,Beige,4WD,,4.5,B,In Transit
Mercedes,S560,2017,Petrol,3000cc cc,Automatic,Black,Beige,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2023,Petrol,2700cc cc,Automatic,Bronze,Beige,4WD,,5,A,Sold
Toyota,Land Cruiser Prado,2022,Diesel,2800cc cc,Automatic,Black,Gray,4WD,,4.5,B,In Stock
Toyota,Hilux,2017,Diesel,2400cc  cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Bmw,X6,2017,Petrol,3000cc V6 cc,Automatic,Pearl White,Red,4WD,,4.5,B,In Transit
Toyota,Premio,2018,Petrol,2000cc  - Valvematic cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Toyota,Vitz,2016,Petrol,1300cc cc,Automatic,Blue,Gray,,,4.5,B,In Stock
Lexus,Lx,2016,Petrol,5700 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Raize,2019,Petrol,1000cc VVT-I cc,Automatic,Red,Gray,,,4.5,B,In Transit
Honda,Crv,2019,Petrol,2000cc  cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Fj Cruiser,2013,Petrol,4000 -V6 cc,Automatic,Orange,Gray,,,4.5,B,In Stock
Subaru,Forester,2014,Petrol,2000 - XT cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Toyota,Premio,2013,Petrol,1800 cc,Automatic,Maroon,Beige,,,4.5,B,In Stock
Volkswagen,Passat,2016,Petrol,3600cc - V6 cc,Automatic,Pearl White,Beige,,,4.5,B,In Transit
Toyota,Vitz,2014,Petrol,1000 - VVT-I cc,Automatic,Silver,Beige,,,4.5,B,In Stock
Toyota,Vellfire,2016,Petrol,3500 - V6 cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Fielder,2016,Petrol,1500cc - VVT-I cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Vellfire,2016,Petrol,3500 - V6 cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Vitz,2016,Petrol,1300cc cc,Automatic,Black,Gray,,,4.5,B,In Stock
Toyota,Vellfire,2016,Petrol,3500 - V6 cc,Automatic,Black,Gray,,,4.5,B,In Transit
Nissan,Advan,2014,Petrol,,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Toyota,Premio,2017,Petrol,2000cc  - Valvematic cc,Automatic,Silver,Beige,,,4.5,B,In Transit
Mercedes,S550,2016,Petrol,4700cc cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Nissan,Latio,2014,Petrol,1200 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Premio,2016,,1500cc - VVT-I cc,Automatic,Red Wine,Beige,,,4.5,B,In Stock
Toyota,Land Cruiser,2021,Diesel,3300-V6 cc,Automatic,Gray,Beige,4WD,,4.5,B,In Transit
Toyota,Axio,2014,Petrol,1500 cc,Automatic,Silver,Beige,,,4.5,B,In Stock
Toyota,Axio,2014,Petrol,1500 cc,Automatic,Gold,Gray,,,4.5,B,In Stock
Subaru,Xv,2017,Petrol,,Automatic,Silver,Gray,,,4.5,B,In Transit
Mercedes,Gle,2020,Diesel,3000cc cc,Automatic,Gray,"Gray, Red",,,4.5,B,
Toyota,Axio,2014,Petrol,1500 cc,Automatic,Pearl White,Beige,,,4.5,B,In Stock
Toyota,Rav,2017,Petrol,2200cc - VVT-I  cc,Automatic,Gray,Gray,,,4.5,B,In Transit
Nissan,Juke,2014,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Stock
Toyota,Passo,2016,Petrol,1000 - VVT-I cc,Automatic,YELLOW,Beige,,,4.5,B,In Stock
Mercedes,Glc,2016,Petrol,2000cc cc,Automatic,Black,Gray,4WD,,4.5,B,In Stock
Range,Rover Vogue,2013,Diesel,3000 - V6 cc,Automatic,Silver,Beige,,,4.5,B,In Stock
Mazda,Cx,2017,Diesel,2200cc   cc,Automatic,Red,Gray,,,4.5,B,In Transit
Toyota,Passo,2016,Petrol,1000 - VVT-I cc,Automatic,Pearl White,Beige,,,4.5,B,In Stock
Mazda,Axela,2017,Petrol,1200cc cc,Automatic,Gray,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser,2016,Petrol,4700-V8 cc,Automatic,Silver,Brown,,,4.5,B,In Stock
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Brown,4WD,,4.5,B,In Transit
Mazda,Demio,2017,Petrol,1200cc cc,Automatic,Blue,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser,2016,Petrol,4700-V8 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Mitsubishi,Pajero,2015,Petrol,3200cc cc,Automatic,Pearl White,Gray,,,4.5,B,
Toyota,Land Cruiser,2016,Petrol,4700-v8   cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Maroon,Gray,,,4.5,B,In Transit
Lexus,Lx,2017,Petrol,5700 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Hilux,2018,Diesel,2400cc  cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Volkswagen,Touareg,2016,Petrol,3600cc - V6 cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,F J Cruiser,2013,Petrol,4000 cc,Automatic,Blue,Gray,,,4.5,B,In Stock
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Vitz,2013,Petrol,1300 cc,Automatic,White,Beige,,,4.5,B,In Transit
Toyota,Land Cruiser,2019,Petrol,2700cc - VVT-I cc,Automatic,Black,Beige,,,4.5,B,In Transit
Lexus,Rx200T,2017,Petrol,2000 cc,Automatic,Pearl White,Red,AWD,,4.5,B,In Transit
Lexus,Rx200T,2016,Petrol,2000 cc,Automatic,Black,Brown,AWD,,4.5,B,In Transit
Lexus,Lx,2017,Petrol,5700 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Lexus,Nx200T,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,AWD,,4.5,B,In Transit
Mazda,Demio,2017,Petrol,1200cc cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Mercedes,S400,2014,Petrol,3500 cc,Automatic,Gray,Brown,,,4.5,B,In Transit
Daihatsu,Mira,2017,Petrol,650cc cc,Automatic,White,Beige,FWD,,4.5,,In Stock
Toyota,Land Cruiser,2016,Petrol,4600-V8 cc,Automatic,Pearl White,,,,4.5,A,In Transit
Nissan,Nv,2016,Petrol,1200cc cc,Automatic,White,Gray,,,4.5,B,In Stock
Toyota,Vitz,2013,Petrol,1300 cc,Automatic,Pearl White,Gray,,,4.5,,In Transit
Volkswagen,Golf,2017,Petrol,1400cc  - TSI cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Blue,Gray,,,4.5,B,In Transit
Lexus,Lx,2016,Petrol,5600 cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser,2016,,4700cc  - V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Mercedes,C200,2017,Petrol,2000cc cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Petrol,2700cc  - VVT-I cc,Automatic,Pearl White,Brown,,,4.5,B,In Transit
Toyota,Land Cruiser,2023,Diesel,4700cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Black,Brown,,,4.5,B,In Transit
Toyota,Hilux,2017,Diesel,2700cc  - VVT-I cc,Automatic,White,Gray,,,4.5,B,In Transit
Subaru,Forester,2019,Petrol,,Automatic,Blue,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1500 cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,Petrol,3000cc  - V6 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Mercedes,Glc,2017,Petrol,2000cc cc,Automatic,Blue,Gray,,,4.5,B,In Transit
Nissan,Cube,2013,Petrol,1500 cc,Automatic,Pink,Beige,,,4.5,B,In Transit
Mercedes,Gle,2017,Diesel,3500cc cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Diesel,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Diesel,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,,,4.5,B,In Transit
Toyota,Vellfire,2017,Petrol,2400 cc,Automatic,Black,Gray,,,4.5,B,
Lexus,Lx,2017,Petrol,3500cc  - V6 cc,Automatic,Pearl White,Orange,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,,3000cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Lexus Lx,2018,Petrol,3500cc  - V6 cc,Automatic,Gray,Orange,4WD,,4.5,B,In Transit
Mitsubishi,Canter,2013,Diesel,3000 cc,Automatic,White,Gray,,,4.5,B,
Toyota,Lexus Lx,2018,Petrol,3500cc  - V6 cc,Automatic,Black,Orange,4WD,,4.5,B,In Transit
Toyota,Lexus Lx,2023,Diesel,3500cc  - V6 cc,Automatic,Gray,Red,4WD,,5,A,In Transit
Toyota,Land Cruiser Prado,2017,Petrol,2700cc  - VVT-I cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Petrol,2700cc  - VVT-I cc,Automatic,Black,Beige,4WD,,4.5,B,In Transit
Toyota,Premio,2017,Petrol,2000cc  - Valvematic cc,Automatic,Silver,Beige,,,4.5,B,In Transit
Subaru,Outback,2016,Petrol,,Automatic,Gold,Gray,AWD,,4.5,B,In Transit
Toyota,Lexus Lx,2022,Petrol,3500cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Transit
Toyota,Land Cruiser,2021,Petrol,4600cc  - V8 cc,Automatic,Gray,Brown,,,4.5,B,In Transit
Ranger,Rover Vogue,2016,,3000cc  - V6 cc,Automatic,Silver Metallic,Gray,,,4.5,B,In Stock
Land,Rover Discovery,2016,Petrol,3000cc  - V6 cc,Automatic,Red Wine,Beige,,,4.5,B,In Stock
Subaru,Impreza,2016,Petrol,,Automatic,Blue,Gray,,,4.5,B,
Subaru,Outback,2016,Petrol,,Automatic,Pearl White,Gray,AWD,,4.5,B,
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Pearl White,Gray,,,4.5,B,
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,
Toyota,Lexus Lx,2022,Petrol,3500cc  - V6 cc,Automatic,Black,Brown,4WD,,5,A,In Transit
Toyota,Lexus Lx,2022,Petrol,3500cc  - V6 cc,Automatic,Silver Metallic,Orange,4WD,,5,A,In Transit
Toyota,Land Cruiser,2021,Petrol,4700cc  - V8 cc,Automatic,Obsidian Black Metallic,Brown,4WD,,4.5,B,In Transit
Volkswagen,Golf,2021,Petrol,1400cc  - TSI cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Lexus Lx,2017,Petrol,5700cc  - V8 cc,Automatic,Pearl White,Orange,4WD,,4.5,B,In Transit
Volks,,2012,Diesel,3000 cc,Automatic,Blue,Gray,4WD,,4.5,B,
Toyota,Lexus Lx,2017,Petrol,3600cc  - V6 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Lexus Lx,2017,Petrol,4600cc  - V8 cc,Automatic,Gold,Brown,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2023,Diesel,4700cc  - V6 cc,Automatic,Black,Gray,4WD,,"5, 4.5",A,In Transit
Toyota,Land Cruiser,2017,Petrol,4700cc  - V8 cc,Automatic,White,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2021,Petrol,4700cc  - V8 cc,Automatic,White,Beige,4WD,,4.5,B,In Transit
Mercedes,Sglc,2017,Petrol,2000cc cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Mercedes,Sglc,2017,Petrol,2000cc cc,Automatic,Black,Gray,,,4.5,B,In Transit
Mercedes,S550,2017,Petrol,4600cc cc,Automatic,Black,"Black, Gray",,,4.5,B,In Stock
Toyota,Land Cruiser,2021,Petrol,4700cc  - V8 cc,Automatic,Obsidian Black Metallic,Brown,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2021,Petrol,4700cc  - TSI cc,Automatic,Obsidian Black Metallic,Gray,4WD,,,,In Transit
Volkswagen,Golf,2021,Petrol,1400cc  - TSI cc,Automatic,Black,Gray,,,,,In Transit
Volkswagen,Golf,2021,Petrol,1400cc  - TSI cc,Automatic,Blue,Gray,,,,,In Transit
Subaru,Outback,2017,Petrol,2500cc cc,Automatic,Pearl White,Gray,AWD,,4.5,B,In Transit
